a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,class
b,bin2,bin0,u,g,w,v,bin2,t,t,bin0,f,g,bin3,bin0,+
a,bin4,bin3,u,g,q,h,bin3,t,t,bin0,f,g,bin1,bin0,+
a,bin1,bin0,u,g,q,h,bin2,t,f,bin0,f,g,bin3,bin0,+
b,bin2,bin1,u,g,w,v,bin4,t,t,bin0,t,g,bin1,bin0,+
b,bin0,bin3,u,g,w,v,bin3,t,f,bin0,f,s,bin1,bin0,+
b,bin2,bin2,u,g,m,v,bin3,t,f,bin0,t,g,bin4,bin0,+
b,bin3,bin1,u,g,r,h,bin4,t,f,bin0,t,g,bin2,bin1,+
a,bin1,bin4,u,g,cc,v,bin0,t,f,bin0,f,g,bin1,bin0,+
b,bin4,bin0,y,p,k,h,bin4,t,f,bin0,f,g,bin2,bin0,+
b,bin4,bin3,y,p,w,v,bin3,t,f,bin0,t,g,bin1,bin0,+
b,bin1,bin1,u,g,c,h,bin3,f,f,bin0,t,g,bin2,bin0,+
b,bin2,bin1,u,g,c,h,bin4,t,f,bin0,f,g,bin3,bin0,+
a,bin3,bin3,u,g,k,v,bin2,t,f,bin0,t,g,bin0,bin0,+
b,bin4,bin3,u,g,k,v,bin0,f,f,bin0,f,g,bin0,bin0,+
a,bin4,bin4,u,g,q,v,bin4,t,t,bin0,t,g,bin0,bin0,+
b,bin3,bin3,y,p,k,v,bin1,t,t,bin0,t,g,bin4,bin0,+
b,bin2,bin1,u,g,m,v,bin2,t,t,bin0,t,g,bin4,bin0,+
a,bin1,bin3,u,g,q,v,bin3,t,t,bin0,f,g,bin1,bin0,+
b,bin1,bin0,u,g,d,h,bin2,t,f,bin0,t,g,bin0,bin0,+
a,bin0,bin3,u,g,cc,h,bin2,t,t,bin0,f,g,bin1,bin0,+
b,bin1,bin4,u,g,c,v,bin3,t,t,bin1,f,g,bin2,bin0,+
b,bin1,bin1,u,g,c,v,bin2,t,f,bin0,f,s,bin3,bin0,+
a,bin4,bin3,u,g,c,v,bin4,t,t,bin0,t,g,bin0,bin0,+
a,bin2,bin4,u,g,x,h,bin3,t,t,bin0,f,g,bin1,bin0,+
a,bin4,bin3,u,g,q,v,bin1,t,t,bin0,t,g,bin2,bin0,+
a,bin0,bin0,u,g,c,h,bin2,t,t,bin0,f,g,bin1,bin0,+
a,bin4,bin4,u,g,i,bb,bin4,t,t,bin0,t,g,bin0,bin0,+
b,bin4,bin4,u,g,d,bb,bin4,t,t,bin1,t,g,bin0,bin0,+
b,bin4,bin3,u,g,e,h,bin4,t,t,bin0,f,g,bin0,bin0,+
b,bin4,bin1,u,g,w,v,bin4,t,t,bin0,t,g,bin4,bin0,+
b,bin2,bin4,u,g,aa,v,bin4,t,t,bin0,t,g,bin2,bin0,+
b,bin4,bin4,u,g,x,h,bin4,t,t,bin0,f,g,bin0,bin0,+
b,bin4,bin3,u,g,i,bb,bin4,t,t,bin1,t,g,bin0,bin0,+
a,bin3,bin3,u,g,e,v,bin4,t,f,bin0,t,g,bin0,bin0,+
a,bin1,bin4,u,g,q,v,bin1,t,t,bin0,t,g,bin0,bin0,+
b,bin2,bin1,u,g,w,v,bin3,t,t,bin0,t,g,bin4,bin0,+
b,bin2,bin1,u,g,cc,h,bin3,t,t,bin0,t,g,bin4,bin0,+
a,bin1,bin4,u,g,x,h,bin1,t,t,bin0,t,g,bin3,bin0,+
b,bin2,bin0,y,p,cc,v,bin1,t,t,bin0,f,g,bin3,bin0,+
b,bin4,bin3,u,g,ff,ff,bin4,t,t,bin0,t,g,bin1,bin0,+
b,bin3,bin3,u,g,c,v,bin4,t,t,bin0,t,g,bin0,bin0,+
b,bin2,bin4,u,g,c,h,bin4,t,t,bin0,f,g,bin0,bin0,+
b,bin2,bin1,u,g,w,h,bin2,t,t,bin0,f,g,bin3,bin0,+
b,bin3,bin4,u,g,w,v,bin4,t,t,bin0,t,g,bin1,bin0,+
b,bin4,bin4,y,p,c,v,bin4,t,t,bin2,f,g,bin0,bin0,+
b,bin4,bin3,u,g,c,h,bin3,t,t,bin0,t,g,bin0,bin0,+
a,bin4,bin2,y,p,q,h,bin0,t,t,bin1,t,g,bin4,bin0,+
