RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
bin4,bin3,bin4,bin0,bin0,bin0,bin2,bin0,bin0,1
bin2,bin3,bin3,bin2,bin2,bin1,bin0,bin0,bin0,1
bin0,bin3,bin3,bin3,bin3,bin1,bin0,bin0,bin0,1
bin2,bin2,bin4,bin1,bin1,bin2,bin1,bin0,bin0,1
bin2,bin2,bin3,bin1,bin3,bin2,bin0,bin0,bin0,1
bin0,bin0,bin3,bin3,bin3,bin4,bin0,bin0,bin2,1
bin2,bin2,bin3,bin0,bin3,bin3,bin1,bin0,bin0,1
bin2,bin1,bin3,bin0,bin4,bin2,bin1,bin0,bin0,1
bin3,bin4,bin3,bin2,bin0,bin2,bin1,bin0,bin0,1
bin2,bin1,bin3,bin2,bin3,bin2,bin1,bin0,bin1,1
bin0,bin0,bin2,bin3,bin4,bin4,bin0,bin0,bin2,1
bin2,bin0,bin4,bin1,bin3,bin3,bin2,bin0,bin0,1
bin0,bin1,bin2,bin2,bin4,bin4,bin0,bin0,bin2,1
bin2,bin1,bin3,bin1,bin4,bin2,bin1,bin0,bin1,1
bin2,bin0,bin3,bin2,bin4,bin3,bin2,bin0,bin0,1
bin2,bin0,bin3,bin1,bin4,bin3,bin1,bin0,bin0,1
bin2,bin0,bin4,bin1,bin3,bin3,bin2,bin0,bin0,1
bin4,bin4,bin4,bin0,bin0,bin1,bin3,bin0,bin0,1
bin3,bin3,bin4,bin1,bin0,bin0,bin3,bin0,bin0,1
bin1,bin1,bin3,bin3,bin2,bin2,bin1,bin0,bin0,1
bin2,bin0,bin3,bin3,bin2,bin2,bin2,bin0,bin1,1
bin3,bin4,bin4,bin0,bin0,bin0,bin3,bin0,bin0,1
bin2,bin0,bin3,bin1,bin2,bin3,bin2,bin0,bin0,1
bin2,bin0,bin3,bin2,bin3,bin3,bin2,bin0,bin0,1
bin1,bin2,bin2,bin1,bin2,bin2,bin1,bin0,bin0,1
