sepal_len,sepal_wid,petal_len,petal_wid,class
bin1,bin4,bin0,bin0,Iris-setosa
bin0,bin1,bin0,bin0,Iris-setosa
bin0,bin3,bin0,bin0,Iris-setosa
bin0,bin2,bin0,bin0,Iris-setosa
bin0,bin4,bin0,bin0,Iris-setosa
bin1,bin4,bin1,bin1,Iris-setosa
bin0,bin3,bin0,bin1,Iris-setosa
bin0,bin3,bin0,bin0,Iris-setosa
bin0,bin1,bin0,bin0,Iris-setosa
bin0,bin2,bin0,bin0,Iris-setosa
bin1,bin4,bin0,bin0,Iris-setosa
bin0,bin3,bin1,bin0,Iris-setosa
bin0,bin1,bin0,bin0,Iris-setosa
bin0,bin1,bin0,bin0,Iris-setosa
bin2,bin4,bin0,bin0,Iris-setosa
bin2,bin4,bin0,bin1,Iris-setosa
bin1,bin4,bin0,bin1,Iris-setosa
bin1,bin4,bin0,bin1,Iris-setosa
bin2,bin4,bin1,bin1,Iris-setosa
bin1,bin4,bin0,bin1,Iris-setosa
bin1,bin3,bin1,bin0,Iris-setosa
bin1,bin4,bin0,bin1,Iris-setosa
bin0,bin4,bin0,bin0,Iris-setosa
bin1,bin3,bin1,bin1,Iris-setosa
bin0,bin3,bin1,bin0,Iris-setosa
bin0,bin1,bin1,bin0,Iris-setosa
bin0,bin3,bin1,bin1,Iris-setosa
bin1,bin4,bin0,bin0,Iris-setosa
bin1,bin3,bin0,bin0,Iris-setosa
bin0,bin3,bin1,bin0,Iris-setosa
bin0,bin2,bin1,bin0,Iris-setosa
bin1,bin3,bin0,bin1,Iris-setosa
bin1,bin4,bin0,bin0,Iris-setosa
bin1,bin4,bin0,bin0,Iris-setosa
bin0,bin2,bin0,bin0,Iris-setosa
bin0,bin3,bin0,bin0,Iris-setosa
bin1,bin4,bin0,bin0,Iris-setosa
bin0,bin2,bin0,bin0,Iris-setosa
bin0,bin1,bin0,bin0,Iris-setosa
bin1,bin3,bin0,bin0,Iris-setosa
bin0,bin4,bin0,bin1,Iris-setosa
bin0,bin0,bin0,bin1,Iris-setosa
bin0,bin3,bin0,bin0,Iris-setosa
bin0,bin4,bin1,bin1,Iris-setosa
bin1,bin4,bin1,bin1,Iris-setosa
bin0,bin1,bin0,bin1,Iris-setosa
bin1,bin4,bin1,bin0,Iris-setosa
bin0,bin3,bin0,bin0,Iris-setosa
bin1,bin4,bin0,bin0,Iris-setosa
bin0,bin3,bin0,bin0,Iris-setosa
bin4,bin3,bin3,bin2,Iris-versicolor
bin3,bin3,bin2,bin2,Iris-versicolor
bin4,bin2,bin3,bin2,Iris-versicolor
bin1,bin0,bin2,bin2,Iris-versicolor
bin3,bin1,bin2,bin2,Iris-versicolor
bin2,bin1,bin2,bin2,Iris-versicolor
bin3,bin3,bin3,bin3,Iris-versicolor
bin0,bin0,bin1,bin1,Iris-versicolor
bin4,bin1,bin2,bin2,Iris-versicolor
bin1,bin0,bin1,bin2,Iris-versicolor
bin0,bin0,bin1,bin1,Iris-versicolor
bin2,bin1,bin2,bin2,Iris-versicolor
bin2,bin0,bin2,bin1,Iris-versicolor
bin2,bin1,bin3,bin2,Iris-versicolor
bin1,bin1,bin1,bin2,Iris-versicolor
bin4,bin2,bin2,bin2,Iris-versicolor
bin1,bin1,bin2,bin2,Iris-versicolor
bin2,bin0,bin2,bin1,Iris-versicolor
bin3,bin0,bin2,bin2,Iris-versicolor
bin1,bin0,bin1,bin1,Iris-versicolor
bin2,bin3,bin3,bin3,Iris-versicolor
bin2,bin1,bin2,bin2,Iris-versicolor
bin3,bin0,bin3,bin2,Iris-versicolor
bin2,bin1,bin3,bin2,Iris-versicolor
bin3,bin1,bin2,bin2,Iris-versicolor
bin4,bin1,bin2,bin2,Iris-versicolor
bin4,bin1,bin3,bin2,Iris-versicolor
bin4,bin1,bin3,bin3,Iris-versicolor
bin2,bin1,bin2,bin2,Iris-versicolor
bin2,bin0,bin1,bin1,Iris-versicolor
bin1,bin0,bin1,bin1,Iris-versicolor
bin1,bin0,bin1,bin1,Iris-versicolor
bin2,bin0,bin1,bin2,Iris-versicolor
bin2,bin0,bin3,bin3,Iris-versicolor
bin1,bin1,bin2,bin2,Iris-versicolor
bin2,bin3,bin2,bin3,Iris-versicolor
bin4,bin2,bin3,bin2,Iris-versicolor
bin3,bin0,bin2,bin2,Iris-versicolor
bin1,bin1,bin2,bin2,Iris-versicolor
bin1,bin0,bin2,bin2,Iris-versicolor
bin1,bin0,bin2,bin2,Iris-versicolor
bin2,bin1,bin2,bin2,Iris-versicolor
bin2,bin0,bin2,bin2,Iris-versicolor
bin0,bin0,bin1,bin1,Iris-versicolor
bin1,bin0,bin2,bin2,Iris-versicolor
bin2,bin1,bin2,bin2,Iris-versicolor
bin2,bin1,bin2,bin2,Iris-versicolor
bin3,bin1,bin2,bin2,Iris-versicolor
bin1,bin0,bin1,bin1,Iris-versicolor
bin2,bin1,bin2,bin2,Iris-versicolor
bin3,bin3,bin4,bin4,Iris-virginica
bin2,bin0,bin3,bin3,Iris-virginica
bin4,bin1,bin4,bin4,Iris-virginica
bin3,bin1,bin4,bin3,Iris-virginica
bin3,bin1,bin4,bin4,Iris-virginica
bin4,bin1,bin4,bin4,Iris-virginica
bin0,bin0,bin2,bin3,Iris-virginica
bin4,bin1,bin4,bin3,Iris-virginica
bin4,bin0,bin4,bin3,Iris-virginica
bin4,bin4,bin4,bin4,Iris-virginica
bin3,bin3,bin3,bin4,Iris-virginica
bin3,bin0,bin3,bin3,Iris-virginica
bin4,bin1,bin4,bin4,Iris-virginica
bin2,bin0,bin3,bin4,Iris-virginica
bin2,bin1,bin3,bin4,Iris-virginica
bin3,bin3,bin3,bin4,Iris-virginica
bin3,bin1,bin4,bin3,Iris-virginica
bin4,bin4,bin4,bin4,Iris-virginica
bin4,bin0,bin4,bin4,Iris-virginica
bin2,bin0,bin3,bin2,Iris-virginica
bin4,bin3,bin4,bin4,Iris-virginica
bin1,bin1,bin3,bin4,Iris-virginica
bin4,bin1,bin4,bin4,Iris-virginica
bin3,bin0,bin3,bin3,Iris-virginica
bin4,bin3,bin4,bin4,Iris-virginica
bin4,bin3,bin4,bin3,Iris-virginica
bin3,bin1,bin3,bin3,Iris-virginica
bin2,bin1,bin3,bin3,Iris-virginica
bin3,bin1,bin4,bin4,Iris-virginica
bin4,bin1,bin4,bin3,Iris-virginica
bin4,bin1,bin4,bin3,Iris-virginica
bin4,bin4,bin4,bin4,Iris-virginica
bin3,bin1,bin4,bin4,Iris-virginica
bin3,bin1,bin3,bin2,Iris-virginica
bin2,bin0,bin4,bin2,Iris-virginica
bin4,bin1,bin4,bin4,Iris-virginica
bin3,bin3,bin4,bin4,Iris-virginica
bin3,bin2,bin4,bin3,Iris-virginica
bin2,bin1,bin3,bin3,Iris-virginica
bin4,bin2,bin4,bin4,Iris-virginica
bin4,bin2,bin4,bin4,Iris-virginica
bin4,bin2,bin3,bin4,Iris-virginica
bin2,bin0,bin3,bin3,Iris-virginica
