a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,class
1.0,bin3,missing,missing,missing,bin4,missing,missing,bin0,missing,bin1,'average',missing,missing,'yes',missing,good
2.0,bin3,bin4,missing,missing,bin3,'ret_allw',missing,missing,'yes',bin1,'below_average',missing,'full',missing,'full',good
missing,missing,missing,missing,missing,bin4,'empl_contr',missing,bin0,missing,bin1,'generous','yes','half','yes','half',good
3.0,bin2,bin1,bin3,'tc',missing,missing,missing,missing,'yes',missing,missing,missing,missing,'yes',missing,good
3.0,bin3,bin3,bin3,missing,bin4,missing,missing,missing,missing,bin2,'average',missing,'half','yes','half',good
2.0,bin0,bin0,missing,missing,bin3,missing,missing,bin1,'yes',bin2,'average',missing,missing,missing,missing,good
3.0,bin2,bin4,bin3,'tc',missing,'empl_contr',missing,missing,missing,bin2,'generous','yes','none','yes','half',good
3.0,bin4,bin3,bin1,missing,bin4,missing,missing,bin0,missing,bin2,'below_average',missing,missing,missing,missing,good
2.0,bin1,bin4,missing,missing,bin4,missing,bin4,bin4,'yes',bin1,'below_average','yes','half','yes',missing,good
1.0,bin4,missing,missing,'none',bin4,'empl_contr',missing,bin0,missing,bin1,'generous','yes','full',missing,missing,good
3.0,bin1,bin1,bin2,'none',bin3,missing,missing,bin0,missing,bin3,'generous',missing,missing,'yes','full',good
2.0,bin4,bin4,missing,missing,bin4,missing,missing,bin0,missing,bin4,missing,missing,'full',missing,missing,good
2.0,bin1,bin1,missing,'none',bin4,missing,missing,bin0,'no',bin0,'below_average','no','half',missing,'half',bad
3.0,bin1,bin1,bin4,'tcf',bin3,missing,missing,bin0,missing,bin3,'generous',missing,'full','yes','full',good
1.0,bin1,missing,missing,'none',bin3,missing,missing,bin1,'no',bin1,'generous',missing,missing,missing,missing,good
2.0,bin3,bin1,missing,'none',bin3,'empl_contr',missing,missing,missing,bin1,'average',missing,'full','yes',missing,good
1.0,bin1,missing,missing,missing,bin3,missing,missing,bin0,missing,bin2,'below_average',missing,missing,missing,missing,good
1.0,bin0,missing,missing,'tc',bin4,'ret_allw',bin0,bin0,'no',bin0,'below_average','yes','half',missing,'none',bad
