dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,,2,0.02,0.9055,0.0225,0.8897,0.0286,0.9027
cleve,,5,0.02,0.5774,0.0428,0.3346,0.0511,0.5375
crx,,2,0.04,0.8684,0.0440,0.8670,0.0445,0.8683
diabetes,,2,0.03,0.7605,0.0749,0.7364,0.0857,0.7604
german,,2,0.06,0.7510,0.0418,0.6942,0.0548,0.7469
glass,,6,0.01,0.5791,0.1141,0.5298,0.1016,0.5953
heart,,2,0.03,0.8296,0.0529,0.8280,0.0534,0.8299
hepatitis,,2,0.05,0.8186,0.0751,0.7363,0.1331,0.8232
horse,,2,0.03,0.8425,0.0328,0.8337,0.0308,0.8436
iris,,3,0.03,0.9267,0.0814,0.9258,0.0878,0.9258
labor,,2,0.05,0.9300,0.0862,0.9246,0.0947,0.9305
led7,,10,0.03,0.7259,0.0201,0.7173,0.0215,0.7183
lymph,,4,0.05,0.8649,0.0608,0.7782,0.1710,0.8641
sonar,,2,0.05,0.8071,0.0619,0.8065,0.0620,0.8075
tic-tac-toe,,2,0.003,0.9729,0.0148,0.9700,0.0162,0.9729
vehicle,,4,0.03,0.6489,0.0182,0.6141,0.0196,0.6127
waveform,,3,0.01,0.8428,0.0119,0.8420,0.0124,0.8422
wine,,3,0.03,0.9663,0.0276,0.9683,0.0258,0.9662
zoo,,7,0.03,0.9573,0.0569,0.9159,0.1122,0.9503
anneal,,5,0.05,0.8405,0.0525,0.6964,0.0842,0.8655
australian,,2,0.03,0.8710,0.0469,0.8700,0.0469,0.8713
ionosphere,,2,0.05,0.9199,0.0442,0.9127,0.0508,0.9199
