dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,2,0.02,0.9298,0.0292,0.9185,0.0357,0.9284
cleve,303,2,0.02,0.8051,0.0647,0.8015,0.0677,0.8046
crx,690,2,0.04,0.8670,0.0537,0.8659,0.0543,0.8670
diabetes,768,2,0.03,0.7631,0.0961,0.7291,0.1115,0.7589
german,1000,2,0.06,0.7210,0.0238,0.6516,0.0348,0.7151
glass,214,6,0.01,0.6993,0.0837,0.5949,0.1436,0.6937
heart,270,2,0.03,0.8296,0.0558,0.8273,0.0563,0.8299
hepatitis,155,2,0.05,0.8072,0.1139,0.7511,0.1283,0.8191
horse,368,2,0.03,0.8397,0.0266,0.8302,0.0247,0.8408
iris,150,3,0.03,0.9267,0.0858,0.9223,0.0925,0.9258
labor,57,2,0.05,0.9467,0.0864,0.9457,0.0878,0.9481
led7,3200,10,0.03,0.7259,0.0212,0.7170,0.0227,0.7183
lymph,148,4,0.05,0.8096,0.0923,0.8029,0.1419,0.8119
sonar,208,2,0.05,0.8071,0.0653,0.8041,0.0654,0.8075
tic-tac-toe,958,2,0.003,0.9729,0.0156,0.9701,0.0171,0.9729
vehicle,846,4,0.03,0.6465,0.0228,0.6042,0.0280,0.6035
waveform,5000,3,0.01,0.8390,0.0130,0.8383,0.0132,0.8385
wine,178,3,0.03,0.9663,0.0291,0.9685,0.0272,0.9662
zoo,101,7,0.03,0.9650,0.0601,0.9273,0.1209,0.9603
