dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,2,0.02,0.9684,0.0150,0.9656,0.0160,0.9687
cleve,303,2,0.02,0.8217,0.0726,0.8197,0.0738,0.8218
crx,690,2,0.04,0.8728,0.0504,0.8717,0.0508,0.8727
diabetes,768,2,0.03,0.7422,0.0648,0.7167,0.0740,0.7430
german,1000,2,0.06,0.7210,0.0238,0.6516,0.0348,0.7151
glass,214,6,0.01,0.6993,0.0837,0.5949,0.1436,0.6937
heart,270,2,0.03,0.8259,0.0553,0.8239,0.0547,0.8263
hepatitis,155,2,0.05,0.8072,0.1139,0.7511,0.1283,0.8191
horse,368,2,0.03,0.7954,0.0684,0.7874,0.0668,0.7990
iris,150,3,0.03,0.9333,0.0629,0.9315,0.0648,0.9333
labor,57,2,0.05,0.9467,0.0864,0.9457,0.0878,0.9481
led7,3200,10,0.03,0.7350,0.0201,0.7270,0.0222,0.7282
lymph,148,4,0.05,0.8096,0.0923,0.8029,0.1419,0.8119
sonar,208,2,0.05,0.8168,0.0815,0.8141,0.0820,0.8172
tic-tac-toe,958,2,0.003,0.9040,0.0317,0.8953,0.0340,0.9045
vehicle,846,4,0.03,0.6632,0.0220,0.6291,0.0284,0.6279
waveform,5000,3,0.01,0.8346,0.0128,0.8335,0.0131,0.8337
wine,178,3,0.03,0.9607,0.0378,0.9630,0.0367,0.9605
zoo,101,7,0.03,0.9650,0.0601,0.9273,0.1209,0.9603
