dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,2,458,441,5,17,0.9888,0.9629,0.9757
breast-w,4,241,236,17,5,0.9328,0.9793,0.9555
cleve,healthy,164,137,27,27,0.8354,0.8354,0.8354
cleve,sick,139,112,27,27,0.8058,0.8058,0.8058
crx,+,307,272,53,35,0.8369,0.8860,0.8608
crx,-,383,330,35,53,0.9041,0.8616,0.8824
diabetes,1,268,173,103,95,0.6268,0.6455,0.6360
diabetes,0,500,397,95,103,0.8069,0.7940,0.8004
german,1,700,580,159,120,0.7848,0.8286,0.8061
german,2,300,141,120,159,0.5402,0.4700,0.5027
glass,2,76,53,21,23,0.7162,0.6974,0.7067
glass,1,70,57,21,13,0.7308,0.8143,0.7703
glass,3,17,2,10,15,0.1667,0.1176,0.1379
glass,7,29,24,5,5,0.8276,0.8276,0.8276
glass,5,13,9,2,4,0.8182,0.6923,0.7500
glass,6,9,5,5,4,0.5000,0.5556,0.5263
heart,1,150,123,20,27,0.8601,0.8200,0.8396
heart,2,120,100,27,20,0.7874,0.8333,0.8097
hepatitis,2,123,100,7,23,0.9346,0.8130,0.8696
hepatitis,1,32,25,23,7,0.5208,0.7813,0.6250
horse,1,232,182,25,50,0.8792,0.7845,0.8292
horse,2,136,111,50,25,0.6894,0.8162,0.7475
iris,Iris-setosa,50,50,0,0,1.0000,1.0000,1.0000
iris,Iris-virginica,50,46,6,4,0.8846,0.9200,0.9020
iris,Iris-versicolor,50,44,4,6,0.9167,0.8800,0.8980
labor,good,37,34,0,3,1.0000,0.9189,0.9577
labor,bad,20,20,3,0,0.8696,1.0000,0.9302
led7,2,322,306,172,16,0.6402,0.9503,0.7650
led7,9,318,154,63,164,0.7097,0.4843,0.5757
led7,7,324,261,75,63,0.7768,0.8056,0.7909
led7,8,314,167,57,147,0.7455,0.5318,0.6208
led7,6,317,226,64,91,0.7793,0.7129,0.7446
led7,5,326,229,70,97,0.7659,0.7025,0.7328
led7,0,325,281,111,44,0.7168,0.8646,0.7838
led7,1,326,259,54,67,0.8275,0.7945,0.8106
led7,4,325,294,140,31,0.6774,0.9046,0.7747
led7,3,303,175,42,128,0.8065,0.5776,0.6731
lymph,2,81,65,11,16,0.8553,0.8025,0.8280
lymph,3,61,50,17,11,0.7463,0.8197,0.7813
lymph,4,4,3,0,1,1.0000,0.7500,0.8571
lymph,1,2,2,0,0,1.0000,1.0000,1.0000
sonar,M,111,93,20,18,0.8230,0.8378,0.8304
sonar,R,97,77,18,20,0.8105,0.7938,0.8021
tic-tac-toe,positive,626,571,37,55,0.9391,0.9121,0.9254
tic-tac-toe,negative,332,295,55,37,0.8429,0.8886,0.8651
vehicle,bus,218,209,67,9,0.7572,0.9587,0.8462
vehicle,van,199,189,106,10,0.6407,0.9497,0.7652
vehicle,saab,217,106,80,111,0.5699,0.4885,0.5261
vehicle,opel,212,57,32,155,0.6404,0.2689,0.3787
waveform,0,1657,1255,226,402,0.8474,0.7574,0.7999
waveform,1,1647,1429,305,218,0.8241,0.8676,0.8453
waveform,2,1696,1489,296,207,0.8342,0.8779,0.8555
wine,2,71,65,1,6,0.9848,0.9155,0.9489
wine,3,48,48,1,0,0.9796,1.0000,0.9897
wine,1,59,58,5,1,0.9206,0.9831,0.9508
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,41,0,0,1.0000,1.0000,1.0000
zoo,4,13,13,1,0,0.9286,1.0000,0.9630
zoo,7,10,9,0,1,1.0000,0.9000,0.9474
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,1,1,0.7500,0.7500,0.7500
zoo,3,5,3,2,2,0.6000,0.6000,0.6000
