dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,2,458,449,57,9,0.8874,0.9803,0.9315
breast-w,4,241,184,9,57,0.9534,0.7635,0.8479
cleve,0,164,151,46,13,0.7665,0.9207,0.8366
cleve,3,35,10,27,25,0.2703,0.2857,0.2778
cleve,2,36,8,21,28,0.2759,0.2222,0.2462
cleve,1,55,3,25,52,0.1071,0.0545,0.0723
cleve,4,13,3,9,10,0.2500,0.2308,0.2400
crx,+,307,268,52,39,0.8375,0.8730,0.8549
crx,-,383,331,39,52,0.8946,0.8642,0.8792
diabetes,1,268,176,92,92,0.6567,0.6567,0.6567
diabetes,0,500,408,92,92,0.8160,0.8160,0.8160
german,1,700,591,140,109,0.8085,0.8443,0.8260
german,2,300,160,109,140,0.5948,0.5333,0.5624
glass,2,76,39,14,37,0.7358,0.5132,0.6047
glass,1,70,44,19,26,0.6984,0.6286,0.6617
glass,3,17,6,18,11,0.2500,0.3529,0.2927
glass,7,29,26,10,3,0.7222,0.8966,0.8000
glass,5,13,7,10,6,0.4118,0.5385,0.4667
glass,6,9,8,13,1,0.3810,0.8889,0.5333
heart,1,150,125,21,25,0.8562,0.8333,0.8446
heart,2,120,99,25,21,0.7984,0.8250,0.8115
hepatitis,2,123,107,12,16,0.8992,0.8699,0.8843
hepatitis,1,32,20,16,12,0.5556,0.6250,0.5882
horse,1,232,197,23,35,0.8955,0.8491,0.8717
horse,2,136,113,35,23,0.7635,0.8309,0.7958
iris,Iris-setosa,50,50,3,0,0.9434,1.0000,0.9709
iris,Iris-virginica,50,46,4,4,0.9200,0.9200,0.9200
iris,Iris-versicolor,50,43,4,7,0.9149,0.8600,0.8866
labor,good,37,34,1,3,0.9714,0.9189,0.9444
labor,bad,20,19,3,1,0.8636,0.9500,0.9048
led7,2,322,306,170,16,0.6429,0.9503,0.7669
led7,9,318,154,63,164,0.7097,0.4843,0.5757
led7,7,324,257,77,67,0.7695,0.7932,0.7812
led7,8,314,146,57,168,0.7192,0.4650,0.5648
led7,6,317,226,64,91,0.7793,0.7129,0.7446
led7,5,326,220,62,106,0.7801,0.6748,0.7237
led7,0,325,278,105,47,0.7258,0.8554,0.7853
led7,1,326,253,49,73,0.8377,0.7761,0.8057
led7,4,325,303,179,22,0.6286,0.9323,0.7509
led7,3,303,180,51,123,0.7792,0.5941,0.6742
lymph,2,81,69,11,12,0.8625,0.8519,0.8571
lymph,3,61,50,13,11,0.7937,0.8197,0.8065
lymph,4,4,2,1,2,0.6667,0.5000,0.5714
lymph,1,2,2,0,0,1.0000,1.0000,1.0000
sonar,M,111,92,21,19,0.8142,0.8288,0.8214
sonar,R,97,76,19,21,0.8000,0.7835,0.7917
tic-tac-toe,positive,626,613,13,13,0.9792,0.9792,0.9792
tic-tac-toe,negative,332,319,13,13,0.9608,0.9608,0.9608
vehicle,bus,218,213,75,5,0.7396,0.9771,0.8419
vehicle,van,199,185,103,14,0.6424,0.9296,0.7598
vehicle,saab,217,91,75,126,0.5482,0.4194,0.4752
vehicle,opel,212,60,44,152,0.5769,0.2830,0.3797
waveform,0,1657,1286,214,371,0.8573,0.7761,0.8147
waveform,1,1647,1435,292,212,0.8309,0.8713,0.8506
waveform,2,1696,1493,280,203,0.8421,0.8803,0.8608
wine,2,71,66,1,5,0.9851,0.9296,0.9565
wine,3,48,48,1,0,0.9796,1.0000,0.9897
wine,1,59,58,4,1,0.9355,0.9831,0.9587
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,40,2,1,0.9524,0.9756,0.9639
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,7,10,8,2,2,0.8000,0.8000,0.8000
zoo,6,8,7,1,1,0.8750,0.8750,0.8750
zoo,5,4,3,0,1,1.0000,0.7500,0.8571
zoo,3,5,4,1,1,0.8000,0.8000,0.8000
anneal,5,67,67,0,0,1.0000,1.0000,1.0000
anneal,3,684,560,3,124,0.9947,0.8187,0.8982
anneal,2,99,99,29,0,0.7734,1.0000,0.8722
anneal,U,40,38,63,2,0.3762,0.9500,0.5390
anneal,1,8,7,32,1,0.1795,0.8750,0.2979
australian,0,383,331,37,52,0.8995,0.8642,0.8815
australian,1,307,270,52,37,0.8385,0.8795,0.8585
ionosphere,g,225,213,16,12,0.9301,0.9467,0.9383
ionosphere,b,126,110,12,16,0.9016,0.8730,0.8871
