dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,699,2,0.02,0.9298,0.0292,0.9185,0.0357,0.9284
cleve,303,2,0.02,0.8051,0.0647,0.8015,0.0677,0.8046
crx,690,2,0.04,0.8655,0.0453,0.8646,0.0454,0.8656
diabetes,768,2,0.03,0.7631,0.0961,0.7291,0.1115,0.7589
german,1000,2,0.06,0.7290,0.0277,0.6453,0.0477,0.7157
glass,214,6,0.01,0.6915,0.0930,0.6544,0.1054,0.6995
heart,270,2,0.03,0.8296,0.0558,0.8273,0.0563,0.8299
hepatitis,155,2,0.05,0.7931,0.0983,0.7102,0.1483,0.8046
horse,368,2,0.03,0.8397,0.0266,0.8302,0.0247,0.8408
iris,150,3,0.03,0.9267,0.0858,0.9223,0.0925,0.9258
labor,57,2,0.05,0.9467,0.0864,0.9457,0.0878,0.9481
led7,3200,10,0.03,0.7265,0.0221,0.7172,0.0246,0.7187
lymph,148,4,0.05,0.8607,0.0583,0.8549,0.1114,0.8583
sonar,208,2,0.05,0.8071,0.0653,0.8041,0.0654,0.8075
tic-tac-toe,958,2,0.003,0.9729,0.0156,0.9701,0.0171,0.9729
vehicle,846,4,0.03,0.6477,0.0203,0.6038,0.0225,0.6030
waveform,5000,3,0.01,0.8316,0.0120,0.8306,0.0120,0.8309
wine,178,3,0.03,0.9663,0.0291,0.9685,0.0272,0.9662
zoo,101,7,0.03,0.9650,0.0601,0.9273,0.1209,0.9603
