dataset,class,support,tp,fp,fn,precision,recall,f1
breast-w,2,458,451,42,7,0.9148,0.9847,0.9485
breast-w,4,241,199,7,42,0.9660,0.8257,0.8904
cleve,healthy,164,139,34,25,0.8035,0.8476,0.8249
cleve,sick,139,105,25,34,0.8077,0.7554,0.7807
crx,+,307,272,58,35,0.8242,0.8860,0.8540
crx,-,383,325,35,58,0.9028,0.8486,0.8748
diabetes,1,268,160,74,108,0.6838,0.5970,0.6375
diabetes,0,500,426,108,74,0.7978,0.8520,0.8240
german,1,700,604,175,96,0.7754,0.8629,0.8168
german,2,300,125,96,175,0.5656,0.4167,0.4798
glass,2,76,45,12,31,0.7895,0.5921,0.6767
glass,1,70,52,15,18,0.7761,0.7429,0.7591
glass,3,17,6,17,11,0.2609,0.3529,0.3000
glass,7,29,25,4,4,0.8621,0.8621,0.8621
glass,5,13,12,6,1,0.6667,0.9231,0.7742
glass,6,9,8,12,1,0.4000,0.8889,0.5517
heart,1,150,125,21,25,0.8562,0.8333,0.8446
heart,2,120,99,25,21,0.7984,0.8250,0.8115
hepatitis,2,123,101,10,22,0.9099,0.8211,0.8632
hepatitis,1,32,22,22,10,0.5000,0.6875,0.5789
horse,1,232,197,24,35,0.8914,0.8491,0.8698
horse,2,136,112,35,24,0.7619,0.8235,0.7915
iris,Iris-setosa,50,50,3,0,0.9434,1.0000,0.9709
iris,Iris-virginica,50,46,4,4,0.9200,0.9200,0.9200
iris,Iris-versicolor,50,43,4,7,0.9149,0.8600,0.8866
labor,good,37,34,0,3,1.0000,0.9189,0.9577
labor,bad,20,20,3,0,0.8696,1.0000,0.9302
led7,2,322,306,170,16,0.6429,0.9503,0.7669
led7,9,318,154,63,164,0.7097,0.4843,0.5757
led7,7,324,257,80,67,0.7626,0.7932,0.7776
led7,8,314,146,57,168,0.7192,0.4650,0.5648
led7,6,317,226,64,91,0.7793,0.7129,0.7446
led7,5,326,229,69,97,0.7685,0.7025,0.7340
led7,0,325,278,105,47,0.7258,0.8554,0.7853
led7,1,326,255,50,71,0.8361,0.7822,0.8082
led7,4,325,302,177,23,0.6305,0.9292,0.7512
led7,3,303,172,40,131,0.8113,0.5677,0.6680
lymph,2,81,70,10,11,0.8750,0.8642,0.8696
lymph,3,61,52,11,9,0.8254,0.8525,0.8387
lymph,4,4,3,0,1,1.0000,0.7500,0.8571
lymph,1,2,2,0,0,1.0000,1.0000,1.0000
sonar,M,111,92,21,19,0.8142,0.8288,0.8214
sonar,R,97,76,19,21,0.8000,0.7835,0.7917
tic-tac-toe,positive,626,613,13,13,0.9792,0.9792,0.9792
tic-tac-toe,negative,332,319,13,13,0.9608,0.9608,0.9608
vehicle,bus,218,212,86,6,0.7114,0.9725,0.8217
vehicle,van,199,186,106,13,0.6370,0.9347,0.7576
vehicle,saab,217,106,81,111,0.5668,0.4885,0.5248
vehicle,opel,212,44,25,168,0.6377,0.2075,0.3132
waveform,0,1657,1268,247,389,0.8370,0.7652,0.7995
waveform,1,1647,1395,278,252,0.8338,0.8470,0.8404
waveform,2,1696,1495,317,201,0.8251,0.8815,0.8523
wine,2,71,66,1,5,0.9851,0.9296,0.9565
wine,3,48,48,1,0,0.9796,1.0000,0.9897
wine,1,59,58,4,1,0.9355,0.9831,0.9587
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,41,0,0,1.0000,1.0000,1.0000
zoo,4,13,13,1,0,0.9286,1.0000,0.9630
zoo,7,10,9,0,1,1.0000,0.9000,0.9474
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,1,1,0.7500,0.7500,0.7500
zoo,3,5,3,2,2,0.6000,0.6000,0.6000
