dataset,records,classes,minSupPct,accuracy,accStd,macroF1,macroF1Std,weightedF1
breast-w,,2,0.02,0.9298,0.0277,0.9194,0.0339,0.9284
cleve,,2,0.02,0.8051,0.0614,0.8028,0.0642,0.8046
crx,,2,0.04,0.8670,0.0509,0.8657,0.0515,0.8670
diabetes,,2,0.03,0.7631,0.0912,0.7307,0.1058,0.7589
german,,2,0.06,0.7320,0.0264,0.6464,0.0448,0.7160
glass,,6,0.01,0.6563,0.1035,0.5915,0.1222,0.6551
heart,,2,0.03,0.8296,0.0529,0.8280,0.0534,0.8299
hepatitis,,2,0.05,0.8186,0.0808,0.7417,0.1369,0.8248
horse,,2,0.03,0.8397,0.0252,0.8306,0.0234,0.8408
iris,,3,0.03,0.9267,0.0814,0.9258,0.0878,0.9258
labor,,2,0.05,0.9467,0.0819,0.9440,0.0833,0.9481
led7,,10,0.03,0.7259,0.0201,0.7173,0.0215,0.7183
lymph,,4,0.05,0.8058,0.1078,0.4096,0.2074,0.7882
sonar,,2,0.05,0.8071,0.0619,0.8065,0.0620,0.8075
tic-tac-toe,,2,0.003,0.9729,0.0148,0.9700,0.0162,0.9729
vehicle,,4,0.03,0.6465,0.0217,0.6049,0.0265,0.6035
waveform,,3,0.01,0.8390,0.0124,0.8383,0.0125,0.8385
wine,,3,0.03,0.9663,0.0276,0.9683,0.0258,0.9662
zoo,,7,0.03,0.9579,0.0662,0.9011,0.1164,0.9501
