dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,2,81,64,11,17,0.8533,0.7901,0.8205
lymph,3,61,50,17,11,0.7463,0.8197,0.7813
lymph,4,4,3,0,1,1.0000,0.7500,0.8571
lymph,1,2,2,1,0,0.6667,1.0000,0.8000
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,41,0,0,1.0000,1.0000,1.0000
zoo,4,13,13,1,0,0.9286,1.0000,0.9630
zoo,7,10,9,0,1,1.0000,0.9000,0.9474
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,1,1,0.7500,0.7500,0.7500
zoo,3,5,3,2,2,0.6000,0.6000,0.6000
glass,2,76,45,12,31,0.7895,0.5921,0.6767
glass,1,70,52,15,18,0.7761,0.7429,0.7591
glass,3,17,6,17,11,0.2609,0.3529,0.3000
glass,7,29,25,5,4,0.8333,0.8621,0.8475
glass,5,13,12,6,1,0.6667,0.9231,0.7742
glass,6,9,8,11,1,0.4211,0.8889,0.5714
hepatitis,2,123,101,10,22,0.9099,0.8211,0.8632
hepatitis,1,32,22,22,10,0.5000,0.6875,0.5789
german,1,700,604,175,96,0.7754,0.8629,0.8168
german,2,300,125,96,175,0.5656,0.4167,0.4798
vehicle,bus,218,212,86,6,0.7114,0.9725,0.8217
vehicle,van,199,186,106,13,0.6370,0.9347,0.7576
vehicle,saab,217,106,81,111,0.5668,0.4885,0.5248
vehicle,opel,212,44,25,168,0.6377,0.2075,0.3132
breast-w,2,458,451,42,7,0.9148,0.9847,0.9485
breast-w,4,241,199,7,42,0.9660,0.8257,0.8904
