dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,2,81,63,9,18,0.8750,0.7778,0.8235
lymph,3,61,52,17,9,0.7536,0.8525,0.8000
lymph,4,4,4,0,0,1.0000,1.0000,1.0000
lymph,1,2,2,1,0,0.6667,1.0000,0.8000
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,41,1,0,0.9762,1.0000,0.9880
zoo,4,13,13,1,0,0.9286,1.0000,0.9630
zoo,7,10,9,0,1,1.0000,0.9000,0.9474
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,4,1,0,0.8000,1.0000,0.8889
zoo,3,5,2,1,3,0.6667,0.4000,0.5000
glass,2,76,52,18,24,0.7429,0.6842,0.7123
glass,1,70,56,22,14,0.7179,0.8000,0.7568
glass,3,17,2,11,15,0.1538,0.1176,0.1333
glass,7,29,25,4,4,0.8621,0.8621,0.8621
glass,5,13,10,3,3,0.7692,0.7692,0.7692
glass,6,9,6,5,3,0.5455,0.6667,0.6000
hepatitis,2,123,91,6,32,0.9381,0.7398,0.8273
hepatitis,1,32,26,32,6,0.4483,0.8125,0.5778
german,1,700,570,158,130,0.7830,0.8143,0.7983
german,2,300,142,130,158,0.5221,0.4733,0.4965
vehicle,bus,218,209,76,9,0.7333,0.9587,0.8310
vehicle,van,199,187,105,12,0.6404,0.9397,0.7617
vehicle,saab,217,111,83,106,0.5722,0.5115,0.5401
vehicle,opel,212,49,26,163,0.6533,0.2311,0.3415
breast-w,2,458,433,3,25,0.9931,0.9454,0.9687
breast-w,4,241,238,25,3,0.9049,0.9876,0.9444
