dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,2,81,67,10,14,0.8701,0.8272,0.8481
lymph,3,61,50,14,11,0.7813,0.8197,0.8000
lymph,4,4,3,2,1,0.6000,0.7500,0.6667
lymph,1,2,2,0,0,1.0000,1.0000,1.0000
zoo,2,20,20,1,0,0.9524,1.0000,0.9756
zoo,1,41,40,0,1,1.0000,0.9756,0.9877
zoo,4,13,13,1,0,0.9286,1.0000,0.9630
zoo,7,10,9,0,1,1.0000,0.9000,0.9474
zoo,6,8,8,0,0,1.0000,1.0000,1.0000
zoo,5,4,3,1,1,0.7500,0.7500,0.7500
zoo,3,5,3,2,2,0.6000,0.6000,0.6000
glass,2,76,45,14,31,0.7627,0.5921,0.6667
glass,1,70,50,20,20,0.7143,0.7143,0.7143
glass,3,17,2,12,15,0.1429,0.1176,0.1290
glass,7,29,27,11,2,0.7105,0.9310,0.8060
glass,5,13,10,5,3,0.6667,0.7692,0.7143
glass,6,9,7,11,2,0.3889,0.7778,0.5185
hepatitis,2,123,106,11,17,0.9060,0.8618,0.8833
hepatitis,1,32,21,17,11,0.5526,0.6563,0.6000
german,1,700,612,180,88,0.7727,0.8743,0.8204
german,2,300,120,88,180,0.5769,0.4000,0.4724
vehicle,bus,218,212,86,6,0.7114,0.9725,0.8217
vehicle,van,199,186,106,13,0.6370,0.9347,0.7576
vehicle,saab,217,102,78,115,0.5667,0.4700,0.5139
vehicle,opel,212,47,29,165,0.6184,0.2217,0.3264
breast-w,2,458,451,42,7,0.9148,0.9847,0.9485
breast-w,4,241,199,7,42,0.9660,0.8257,0.8904
