dataset,class,support,tp,fp,fn,precision,recall,f1
lymph,2,81,67,10,14,0.8701,0.8272,0.8481
lymph,3,61,51,14,10,0.7846,0.8361,0.8095
lymph,4,4,2,2,2,0.5000,0.5000,0.5000
lymph,1,2,2,0,0,1.0000,1.0000,1.0000
zoo,2,20,20,0,0,1.0000,1.0000,1.0000
zoo,1,41,40,2,1,0.9524,0.9756,0.9639
zoo,4,13,13,0,0,1.0000,1.0000,1.0000
zoo,7,10,9,2,1,0.8182,0.9000,0.8571
zoo,6,8,7,0,1,1.0000,0.8750,0.9333
zoo,5,4,3,0,1,1.0000,0.7500,0.8571
zoo,3,5,4,1,1,0.8000,0.8000,0.8000
glass,2,76,45,14,31,0.7627,0.5921,0.6667
glass,1,70,50,20,20,0.7143,0.7143,0.7143
glass,3,17,2,12,15,0.1429,0.1176,0.1290
glass,7,29,27,11,2,0.7105,0.9310,0.8060
glass,5,13,10,5,3,0.6667,0.7692,0.7143
glass,6,9,7,11,2,0.3889,0.7778,0.5185
hepatitis,2,123,107,12,16,0.8992,0.8699,0.8843
hepatitis,1,32,20,16,12,0.5556,0.6250,0.5882
german,1,700,591,140,109,0.8085,0.8443,0.8260
german,2,300,160,109,140,0.5948,0.5333,0.5624
vehicle,bus,218,213,75,5,0.7396,0.9771,0.8419
vehicle,van,199,185,101,14,0.6469,0.9296,0.7629
vehicle,saab,217,97,74,120,0.5673,0.4470,0.5000
vehicle,opel,212,61,40,151,0.6040,0.2877,0.3898
breast-w,2,458,451,42,7,0.9148,0.9847,0.9485
breast-w,4,241,199,7,42,0.9660,0.8257,0.8904
